ID,Title,Name of the initiative,Website URL,Topic,Subtopic,Description of initiative,End date,Service provided,Key countries covered
143,Support and advice for EU SMEs targeting the MERCOSUR region or Chile,Mercosur IPR SMEs Helpdesk,http://www.mercosur-iprhelpdesk.eu/,All,,"IPR support and advice, training and online resources for EU SMEs expanding or already operating in the MERCOSUR region or in Chile. Services articulated in three areas: first-line assistance on IP protection and enforcement in the region;facilitation of contacts with government agencies, EC services, research organisations, enterprises and other relevant actors.  ",,"market expansion, IPR and legal issues, partnership with other companies",EU
144,Portfolio of European Accelerators and their services,Open Axel,http://www.openaxel.com/,ICT sector,,"The Open Axel initiative brings together accelerators in a common objective of opening the accelerators ecosystem by fostering smart cooperation between key stakeholders, delivering world class services to highly innovative SMEs, startups and entrepreneurs. It is an interactive map providing the geo location of European accelerators and corporate startups programmes that can help startups and entrepreneurs grow their business.",01-Apr-16,"accelerator, funding opportunities",EU
145,"Assisting SMEs to exploit commercial, technological and research opportunities in their sector",Sector Groups,http://een.ec.europa.eu/about/sector-groups,All,,"Sector Groups assist SMEs to exploit commercial, technological and research opportunities in their sector (business intelligence, innovation and technology transfer, matchmaking and brokerage events). There are sector groups for: Agrofood, BioChemTech, Creative Industries, Environment, Healthcare, Ict Industry & Services, Maritime Industry & Services, Materials, Nano & Microtechnologies, Services & Retail, Sustainable Construction, Textile & Fashion, Tourism & Cultural Heritage.",,"investor introductions, business plan development, partnership with other companies","BE,DK,ES,FR,IE,PL"
146,ICT applications for B2B collaboration for smart farming,Smartagrifood2,http://www.smartagrifood.com/,ICT sector,agri-food,Smartagrifood supports  software providers in developing  affordable and smart ICT applications and services for B2B collaboration for smart farming. The project is structured in three stages where successful SMEs will secure funding for subsequent stages and access to relevant experts to guarantee a rapid market penetration.,01-May-16,"accelerator, technical assessment and training, funding opportunities","EU,CH,IL,NO,TR"
147,Horizon 2020's SME Instrument (Phase 1 -2-3),Sme Instrument (Phase 1 -2-3),http://ec.europa.eu/programmes/horizon2020/en/h2020-section/sme-instrument,All,,"The SME instrument aims at providing full-cycle business innovation support to single or groups of highly innovative SMEs with international ambitions and innovative business ideas. The instrument provides innovation support from the stage of business idea conception and planning (phase I) and business plan execution and demonstration (phase II) to commercialization (phase III). <br />hase I (proof-of-concept): Exploring the scientific or technical feasibility and commercial potential in order to develop an innovation project, with the help of a € 50,000 grant, and receive more support in case of a positive outcome.<br />Phase II (development & demonstration): Developing the business idea further with the help of a grant in the order of € 500,000 to 2,5 million into a market-ready product, service or process.<br />hase III (go-to-market): Additional EU support is provided (no grants) that may range from investment readiness, linking with private investors and customers through brokerage activities, assistance in applying for further EU risk finance, and other innovation support activities and services. ",,"investor readiness , investor introductions, technical assessment and training, funding opportunities",EU
148,Inventory of support available for SMEs doing business in non EU countries.,Sme Internationalisation Portal,https://webgate.ec.europa.eu/smeip/,All,,"The online portal database is linked to both EU and non EU funded initiatives and it helps SMEs to start doing business in non EU countries. The database provides a list of relevant initiatives based on the country of origin and target country selected from funding opportunities to training and networking. In addition, business providing support services looking for business partners can also access the portal to register their contact details.",,"market expansion, IPR and legal issues, partnership with other companies","PT,IT,BE,ES,NL,LU"
149,FI-WARE accelerator for smarter urban life,Soul-Fi,http://soul-fi.ipn.pt/,ICT sector,"smart cities, smart mobility, future internet","SOUL FI is a FI-WARE accelerator project which aims to grow innovative web-based solutions for smarter urban life in the following areas: Smart Cities, Transport, Social & Learning, Energy & Environment. <br />he project comprises of two open calls with specific round offers. Round A (First Open Call) is focused on Ignition and Business Plan -web apps and services in the field of smart cities. Round B (Second Open Call) is focused on Service/Application Development - pilot future internet products for smart cities.  ",01-Apr-16,"partnership with other companies, incubator, technical assessment and training, funding opportunities","DK,BE,SE,DE,NL"
150,"FI-WARE accelerator for AgriBusiness, SmartCities and CleanTech",Speedup_Europe,http://www.speedupeurope.eu/,ICT sector,"agri-food, smart cities, clean technologies, future internet","Speed UP! Europe is an acceleration and support programme which provides financial support and entrepreneurial training to European SMEs and teams of web entrepreneurs looking to develop highly innovative applications and building upon the FIWARE technology in the areas of AgriBusiness, SmartCities and CleanTech. The programme covers the entire entrepreneurial journey from the ideaƒ??s inception, to prototype, business development and provides coordination and innovative support actions to build teams and ideas, develop business models, provide coaching and mentoring as well as provide support to access funding. ",01-Jun-16,"business plan development, technical assessment and training, funding opportunities","UK,IT,ES,EL,NL,BE "
151,"Start-up summer academies, business idea competitions and thematically-focused training",Startify7,http://www.startify7.eu,ICT sector,,"Startify7 organises start-up summer academies in different European cities followed by business idea competitions and thematically-focused training curricula in the following cities/areas: Sheffield (Digital healthcare), Trento (Cyber Security), Nuremburg (Cyber-Physical-Systems/Internet of Things), Almeria (Industrial Simulations), Thessaloniki (Games and Gaming), Katowice (Next-Generation Enterprise Information Systems), Enschede (Social and enterprise networks).<br />he academies include 10 days of collaborative, hands-on training;93 teams developing entrepreneurial ideas;collaboration with 15 existing regional start-up communities and 5 existing EU initiatives. ",,"incubator, technical assessment and training",EU
152,Open database of Technology Transfer opportunities,Technology Transfer,http://een.ec.europa.eu/content/technology-transfer,All,,"The technology transfer service of the EEN, uses a database with more than 23.000 profiles on  available cutting-edge technologies/products/applications/innovations. The IT tool allows business that need an innovation/technology transfer for the product they offer, to find potential partners.",,partnership with other companies,"DK,EL,UK,IT,LU,PL,AU"
153,Online tool allowing business to find sources of finance delivered by EIF financial intermediaries,Where To Access Finance - Eif (European Investment Fund),http://www.eif.org/what_we_do/where/index.htm,All,,"Online tool allowing business to find sources of finance delivered by EIF financial intermediaries. The EIF supports micro enterprises and SMEs by working with financial intermediaries (banks, guarantee, microfinance institutions, private equity and venture capital funds) across Europe, offering equity and debt products to entrepreneurs. The online tool allows business to locate available sources of finance from EIF Financial Intermediaries across the EU MS, along with specific information on how to engage with the action.",,funding opportunities,EU 
